#RANK	ID	GENE_SYMBOL	ENTREZ_GENE_ID	MOI	P-VALUE	EXOMISER_GENE_COMBINED_SCORE	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
1	BUB1B_AR	BUB1B	701	AR	0.0000	0.9819	0.8134	0.9614	0.8134	0.5901	0.0000	0.0000	0.8134	1.0000	0	Mosaic variegated aneuploidy syndrome 1 (OMIM:257300): Nephrocalcinosis (HP:0000121)-Renal cyst (HP:0000107), Failure to thrive (HP:0001508)-Small for gestational age (HP:0001518), Small for gestational age (HP:0001518)-Small for gestational age (HP:0001518), Premature birth (HP:0001622)-Premature chromatid separation (HP:0200024), Rhabdomyosarcoma (HP:0002859)-Embryonal rhabdomyosarcoma (HP:0006743), Short stature (HP:0004322)-Short stature (HP:0004322), 	Failure to thrive (HP:0001508)-postnatal growth retardation (MP:0001732), Small for gestational age (HP:0001518)-cachexia (MP:0005150), Premature birth (HP:0001622)-postnatal growth retardation (MP:0001732), Rhabdomyosarcoma (HP:0002859)-muscular atrophy (MP:0002269), Skeletal muscle atrophy (HP:0003202)-muscular atrophy (MP:0002269), Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), 				
2	HLA-DRB1_AD	HLA-DRB1	3123	AD	0.0002	0.9624	0.7067	1.0000	0.7067	0.0000	0.0000	0.5029	0.7067	1.0000	0	Sarcoidosis (ORPHA:797): Nephrocalcinosis (HP:0000121)-Nephrocalcinosis (HP:0000121), Failure to thrive (HP:0001508)-Weight loss (HP:0001824), Small for gestational age (HP:0001518)-Weight loss (HP:0001824), Skeletal muscle atrophy (HP:0003202)-Facial palsy (HP:0010628), 			Proximity to SEC24C associated with 22q11.2 deletion syndrome (ORPHA:567): Nephrocalcinosis (HP:0000121)-Multiple renal cysts (HP:0005562), Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Failure to thrive (HP:0001508), Premature birth (HP:0001622)-Polyhydramnios (HP:0001561), Skeletal muscle atrophy (HP:0003202)-Optic atrophy (HP:0000648), Short stature (HP:0004322)-Short stature (HP:0004322), 		Proximity to SEC24C Short stature (HP:0004322)-whole organism decreased length, abnormal (ZP:0000473), 
3	FANCD2_AR	FANCD2	2177	AR	0.0024	0.8871	0.6815	0.9000	0.6815	0.5034	0.2983	0.5104	0.6815	1.0000	0	Fanconi anemia, complementation group D2 (OMIM:227646): Nephrocalcinosis (HP:0000121)-Renal duplication (HP:0000075), Failure to thrive (HP:0001508)-Small for gestational age (HP:0001518), Small for gestational age (HP:0001518)-Small for gestational age (HP:0001518), Premature birth (HP:0001622)-Cryptorchidism (HP:0000028), Short stature (HP:0004322)-Short stature (HP:0004322), 	Failure to thrive (HP:0001508)-postnatal growth retardation (MP:0001732), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Premature birth (HP:0001622)-postnatal growth retardation (MP:0001732), Skeletal muscle atrophy (HP:0003202)-decreased body weight (MP:0001262), Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), 	Premature birth (HP:0001622)-male sex determination increased occurrence, abnormal (ZP:0017105), 	Proximity to DCLRE1B associated with Dyskeratosis congenita, autosomal recessive 8 (OMIM:620133): Premature birth (HP:0001622)-Premature birth (HP:0001622), Skeletal muscle atrophy (HP:0003202)-Cerebellar atrophy (HP:0001272), Short stature (HP:0004322)-Intrauterine growth retardation (HP:0001511), 	Proximity to DCLRE1B Skeletal muscle atrophy (HP:0003202)-decreased embryo size (MP:0001698), Short stature (HP:0004322)-decreased embryo size (MP:0001698), 	
4	BUB1B_AD	BUB1B	701	AD	0.0025	0.8838	0.5901	1.0000	0.8134	0.5901	0.0000	0.0000	0.8134	1.0000	0	Mosaic variegated aneuploidy syndrome 1 (OMIM:257300): Nephrocalcinosis (HP:0000121)-Renal cyst (HP:0000107), Failure to thrive (HP:0001508)-Small for gestational age (HP:0001518), Small for gestational age (HP:0001518)-Small for gestational age (HP:0001518), Premature birth (HP:0001622)-Premature chromatid separation (HP:0200024), Rhabdomyosarcoma (HP:0002859)-Embryonal rhabdomyosarcoma (HP:0006743), Short stature (HP:0004322)-Short stature (HP:0004322), 	Failure to thrive (HP:0001508)-postnatal growth retardation (MP:0001732), Small for gestational age (HP:0001518)-cachexia (MP:0005150), Premature birth (HP:0001622)-postnatal growth retardation (MP:0001732), Rhabdomyosarcoma (HP:0002859)-muscular atrophy (MP:0002269), Skeletal muscle atrophy (HP:0003202)-muscular atrophy (MP:0002269), Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), 				
5	HLA-DQA1_AR	HLA-DQA1	3117	AR	0.0031	0.8668	0.5863	0.9873	0.5863	0.0000	0.0000	0.0000	0.5863	1.0000	0	Celiac disease, susceptibility to (OMIM:212750): Nephrocalcinosis (HP:0000121)-Cerebral calcification (HP:0002514), Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Weight loss (HP:0001824), Premature birth (HP:0001622)-Delayed puberty (HP:0000823), Short stature (HP:0004322)-Short stature (HP:0004322), 					
6	ARL9_AD	ARL9	132946	AD	0.0051	0.8210	0.5424	0.9988	0.0000	0.0000	0.0000	0.5424	0.5424	1.0000	0				Proximity to TAPT1 associated with Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gistelinck type (OMIM:616897): Nephrocalcinosis (HP:0000121)-Hydronephrosis (HP:0000126), Failure to thrive (HP:0001508)-Small for gestational age (HP:0001518), Small for gestational age (HP:0001518)-Small for gestational age (HP:0001518), Premature birth (HP:0001622)-Polyhydramnios (HP:0001561), Skeletal muscle atrophy (HP:0003202)-Flexion contracture (HP:0001371), Short stature (HP:0004322)-Intrauterine growth retardation (HP:0001511), 		
7	SERPINA1_AR	SERPINA1	5265	AR	0.0058	0.8074	0.5327	1.0000	0.5327	0.0000	0.0000	0.5012	0.5327	1.0000	0	Cystic fibrosis (ORPHA:586): Nephrocalcinosis (HP:0000121)-Nephrolithiasis (HP:0000787), Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Decreased body mass index (HP:0045082), 			Proximity to SERPINE1 associated with Congenital plasminogen activator inhibitor type 1 deficiency (ORPHA:465): Nephrocalcinosis (HP:0000121)-Menorrhagia (HP:0000132), Premature birth (HP:0001622)-Premature birth (HP:0001622), Skeletal muscle atrophy (HP:0003202)-Intramuscular hematoma (HP:0012233), 	Proximity to SERPINE1 Nephrocalcinosis (HP:0000121)-glomerular crescent (MP:0011506), Failure to thrive (HP:0001508)-decreased body weight (MP:0001262), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Rhabdomyosarcoma (HP:0002859)-decreased skeletal muscle triglyceride level (MP:0031414), Skeletal muscle atrophy (HP:0003202)-decreased skeletal muscle triglyceride level (MP:0031414), Short stature (HP:0004322)-decreased body weight (MP:0001262), 	
8	ADAMTS1_AD	ADAMTS1	9510	AD	0.0081	0.7700	0.5122	0.9988	0.0000	0.5122	0.0000	0.5001	0.5122	1.0000	0		Nephrocalcinosis (HP:0000121)-abnormal kidney corticomedullary boundary morphology (MP:0011376), Failure to thrive (HP:0001508)-decreased body weight (MP:0001262), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Premature birth (HP:0001622)-impaired embryo implantation (MP:0001729), Skeletal muscle atrophy (HP:0003202)-decreased body weight (MP:0001262), Short stature (HP:0004322)-decreased body weight (MP:0001262), 		Proximity to FBN1 associated with Marfan lipodystrophy syndrome (OMIM:616914): Premature birth (HP:0001622)-Premature birth (HP:0001622), Skeletal muscle atrophy (HP:0003202)-Scapular winging (HP:0003691), Short stature (HP:0004322)-Tall stature (HP:0000098), 	Proximity to FBN1 Nephrocalcinosis (HP:0000121)-calcified aorta (MP:0010522), Failure to thrive (HP:0001508)-hemothorax (MP:0005243), Small for gestational age (HP:0001518)-hemothorax (MP:0005243), Premature birth (HP:0001622)-hemothorax (MP:0005243), Rhabdomyosarcoma (HP:0002859)-diaphragmatic hernia (MP:0003924), Skeletal muscle atrophy (HP:0003202)-diaphragmatic hernia (MP:0003924), Short stature (HP:0004322)-decreased bone volume (MP:0010876), 	
8	ADAMTS1_AR	ADAMTS1	9510	AR	0.0081	0.7700	0.5122	0.9988	0.0000	0.5122	0.0000	0.5001	0.5122	1.0000	0		Nephrocalcinosis (HP:0000121)-abnormal kidney corticomedullary boundary morphology (MP:0011376), Failure to thrive (HP:0001508)-decreased body weight (MP:0001262), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Premature birth (HP:0001622)-impaired embryo implantation (MP:0001729), Skeletal muscle atrophy (HP:0003202)-decreased body weight (MP:0001262), Short stature (HP:0004322)-decreased body weight (MP:0001262), 		Proximity to FBN1 associated with Marfan lipodystrophy syndrome (OMIM:616914): Premature birth (HP:0001622)-Premature birth (HP:0001622), Skeletal muscle atrophy (HP:0003202)-Scapular winging (HP:0003691), Short stature (HP:0004322)-Tall stature (HP:0000098), 	Proximity to FBN1 Nephrocalcinosis (HP:0000121)-calcified aorta (MP:0010522), Failure to thrive (HP:0001508)-hemothorax (MP:0005243), Small for gestational age (HP:0001518)-hemothorax (MP:0005243), Premature birth (HP:0001622)-hemothorax (MP:0005243), Rhabdomyosarcoma (HP:0002859)-diaphragmatic hernia (MP:0003924), Skeletal muscle atrophy (HP:0003202)-diaphragmatic hernia (MP:0003924), Short stature (HP:0004322)-decreased bone volume (MP:0010876), 	
10	EIF4EBP1_AD	EIF4EBP1	1978	AD	0.0081	0.7690	0.5105	1.0000	0.0000	0.4419	0.0000	0.5105	0.5105	1.0000	0		Failure to thrive (HP:0001508)-decreased body weight (MP:0001262), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Skeletal muscle atrophy (HP:0003202)-decreased body weight (MP:0001262), Short stature (HP:0004322)-decreased body weight (MP:0001262), 		Proximity to MAPKAPK5 associated with Neurocardiofaciodigital syndrome (OMIM:619869): Nephrocalcinosis (HP:0000121)-Vesicoureteral reflux (HP:0000076), Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Small for gestational age (HP:0001518), Short stature (HP:0004322)-Short stature (HP:0004322), 		
