#RANK	ID	GENE_SYMBOL	ENTREZ_GENE_ID	MOI	P-VALUE	EXOMISER_GENE_COMBINED_SCORE	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
1	BUB1B_AR	BUB1B	701	AR	0.0000	0.9819	0.8134	0.9614	0.8134	0.5901	0.0000	0.0000	0.8134	1.0000	0	Mosaic variegated aneuploidy syndrome 1 (OMIM:257300): Nephrocalcinosis (HP:0000121)-Renal cyst (HP:0000107), Failure to thrive (HP:0001508)-Small for gestational age (HP:0001518), Small for gestational age (HP:0001518)-Small for gestational age (HP:0001518), Premature birth (HP:0001622)-Premature chromatid separation (HP:0200024), Rhabdomyosarcoma (HP:0002859)-Embryonal rhabdomyosarcoma (HP:0006743), Short stature (HP:0004322)-Short stature (HP:0004322), 	Failure to thrive (HP:0001508)-postnatal growth retardation (MP:0001732), Small for gestational age (HP:0001518)-cachexia (MP:0005150), Premature birth (HP:0001622)-postnatal growth retardation (MP:0001732), Rhabdomyosarcoma (HP:0002859)-muscular atrophy (MP:0002269), Skeletal muscle atrophy (HP:0003202)-muscular atrophy (MP:0002269), Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), 				
2	BUB1B_AD	BUB1B	701	AD	0.0025	0.8838	0.5901	1.0000	0.8134	0.5901	0.0000	0.0000	0.8134	1.0000	0	Mosaic variegated aneuploidy syndrome 1 (OMIM:257300): Nephrocalcinosis (HP:0000121)-Renal cyst (HP:0000107), Failure to thrive (HP:0001508)-Small for gestational age (HP:0001518), Small for gestational age (HP:0001518)-Small for gestational age (HP:0001518), Premature birth (HP:0001622)-Premature chromatid separation (HP:0200024), Rhabdomyosarcoma (HP:0002859)-Embryonal rhabdomyosarcoma (HP:0006743), Short stature (HP:0004322)-Short stature (HP:0004322), 	Failure to thrive (HP:0001508)-postnatal growth retardation (MP:0001732), Small for gestational age (HP:0001518)-cachexia (MP:0005150), Premature birth (HP:0001622)-postnatal growth retardation (MP:0001732), Rhabdomyosarcoma (HP:0002859)-muscular atrophy (MP:0002269), Skeletal muscle atrophy (HP:0003202)-muscular atrophy (MP:0002269), Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), 				
3	ATM_AR	ATM	472	AR	0.3318	0.0578	0.6273	0.4331	0.6273	0.5068	0.0000	0.5118	0.6273	1.0000	0	Ataxia-telangiectasia (ORPHA:100): Nephrocalcinosis (HP:0000121)-Polycystic ovaries (HP:0000147), Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Failure to thrive (HP:0001508), Premature birth (HP:0001622)-Delayed puberty (HP:0000823), Skeletal muscle atrophy (HP:0003202)-Skeletal muscle atrophy (HP:0003202), Short stature (HP:0004322)-Short stature (HP:0004322), 	Failure to thrive (HP:0001508)-postnatal growth retardation (MP:0001732), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Premature birth (HP:0001622)-arrest of male meiosis (MP:0008261), Skeletal muscle atrophy (HP:0003202)-decreased body weight (MP:0001262), Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), 		Proximity to SMARCAL1 associated with Schimke immuno-osseous dysplasia (ORPHA:1830): Nephrocalcinosis (HP:0000121)-Focal segmental glomerulosclerosis (HP:0000097), Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Small for gestational age (HP:0001518), Premature birth (HP:0001622)-Premature birth (HP:0001622), Short stature (HP:0004322)-Short stature (HP:0004322), 	Proximity to SMARCAL1 Nephrocalcinosis (HP:0000121)-albuminuria (MP:0002871), Failure to thrive (HP:0001508)-postnatal growth retardation (MP:0001732), Small for gestational age (HP:0001518)-decreased body weight (MP:0001262), Premature birth (HP:0001622)-postnatal growth retardation (MP:0001732), Skeletal muscle atrophy (HP:0003202)-decreased body length (MP:0001258), Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), 	
4	BUB1_AD	BUB1	699	AD	0.5384	0.0071	0.8035	0.0000	0.8035	0.2636	0.0000	0.5022	0.8035	1.0000	0	Mosaic variegated aneuploidy syndrome (ORPHA:1052): Nephrocalcinosis (HP:0000121)-Multicystic kidney dysplasia (HP:0000003), Premature birth (HP:0001622)-Polyhydramnios (HP:0001561), Rhabdomyosarcoma (HP:0002859)-Rhabdomyosarcoma (HP:0002859), Skeletal muscle atrophy (HP:0003202)-Muscular dystrophy (HP:0003560), Short stature (HP:0004322)-Short stature (HP:0004322), 	Failure to thrive (HP:0001508)-decreased testis weight (MP:0004852), Small for gestational age (HP:0001518)-decreased testis weight (MP:0004852), Skeletal muscle atrophy (HP:0003202)-small seminiferous tubules (MP:0001153), Short stature (HP:0004322)-small seminiferous tubules (MP:0001153), 		Proximity to MAD1L1 associated with Mosaic variegated aneuploidy syndrome 7 with inflammation and tumor predisposition (OMIM:620189): Nephrocalcinosis (HP:0000121)-Cervix cancer (HP:0030079), Rhabdomyosarcoma (HP:0002859)-Embryonal rhabdomyosarcoma (HP:0006743), 	Proximity to MAD1L1 Rhabdomyosarcoma (HP:0002859)-increased rhabdomyosarcoma incidence (MP:0002036), Skeletal muscle atrophy (HP:0003202)-increased rhabdomyosarcoma incidence (MP:0002036), 	Proximity to MAD1L1 Failure to thrive (HP:0001508)-habituation decreased rate, abnormal (ZP:0138053), 
4	BUB1_AR	BUB1	699	AR	0.5384	0.0071	0.8035	0.0000	0.8035	0.2636	0.0000	0.5022	0.8035	1.0000	0	Mosaic variegated aneuploidy syndrome (ORPHA:1052): Nephrocalcinosis (HP:0000121)-Multicystic kidney dysplasia (HP:0000003), Premature birth (HP:0001622)-Polyhydramnios (HP:0001561), Rhabdomyosarcoma (HP:0002859)-Rhabdomyosarcoma (HP:0002859), Skeletal muscle atrophy (HP:0003202)-Muscular dystrophy (HP:0003560), Short stature (HP:0004322)-Short stature (HP:0004322), 	Failure to thrive (HP:0001508)-decreased testis weight (MP:0004852), Small for gestational age (HP:0001518)-decreased testis weight (MP:0004852), Skeletal muscle atrophy (HP:0003202)-small seminiferous tubules (MP:0001153), Short stature (HP:0004322)-small seminiferous tubules (MP:0001153), 		Proximity to MAD1L1 associated with Mosaic variegated aneuploidy syndrome 7 with inflammation and tumor predisposition (OMIM:620189): Nephrocalcinosis (HP:0000121)-Cervix cancer (HP:0030079), Rhabdomyosarcoma (HP:0002859)-Embryonal rhabdomyosarcoma (HP:0006743), 	Proximity to MAD1L1 Rhabdomyosarcoma (HP:0002859)-increased rhabdomyosarcoma incidence (MP:0002036), Skeletal muscle atrophy (HP:0003202)-increased rhabdomyosarcoma incidence (MP:0002036), 	Proximity to MAD1L1 Failure to thrive (HP:0001508)-habituation decreased rate, abnormal (ZP:0138053), 
4	BUB3_AD	BUB3	9184	AD	0.5384	0.0071	0.8035	0.0000	0.8035	0.0000	0.0000	0.5021	0.8035	1.0000	0	Mosaic variegated aneuploidy syndrome (ORPHA:1052): Nephrocalcinosis (HP:0000121)-Multicystic kidney dysplasia (HP:0000003), Premature birth (HP:0001622)-Polyhydramnios (HP:0001561), Rhabdomyosarcoma (HP:0002859)-Rhabdomyosarcoma (HP:0002859), Skeletal muscle atrophy (HP:0003202)-Muscular dystrophy (HP:0003560), Short stature (HP:0004322)-Short stature (HP:0004322), 			Proximity to MAD1L1 associated with Mosaic variegated aneuploidy syndrome 7 with inflammation and tumor predisposition (OMIM:620189): Nephrocalcinosis (HP:0000121)-Cervix cancer (HP:0030079), Rhabdomyosarcoma (HP:0002859)-Embryonal rhabdomyosarcoma (HP:0006743), 	Proximity to MAD1L1 Rhabdomyosarcoma (HP:0002859)-increased rhabdomyosarcoma incidence (MP:0002036), Skeletal muscle atrophy (HP:0003202)-increased rhabdomyosarcoma incidence (MP:0002036), 	Proximity to MAD1L1 Failure to thrive (HP:0001508)-habituation decreased rate, abnormal (ZP:0138053), 
4	BUB3_AR	BUB3	9184	AR	0.5384	0.0071	0.8035	0.0000	0.8035	0.0000	0.0000	0.5021	0.8035	1.0000	0	Mosaic variegated aneuploidy syndrome (ORPHA:1052): Nephrocalcinosis (HP:0000121)-Multicystic kidney dysplasia (HP:0000003), Premature birth (HP:0001622)-Polyhydramnios (HP:0001561), Rhabdomyosarcoma (HP:0002859)-Rhabdomyosarcoma (HP:0002859), Skeletal muscle atrophy (HP:0003202)-Muscular dystrophy (HP:0003560), Short stature (HP:0004322)-Short stature (HP:0004322), 			Proximity to MAD1L1 associated with Mosaic variegated aneuploidy syndrome 7 with inflammation and tumor predisposition (OMIM:620189): Nephrocalcinosis (HP:0000121)-Cervix cancer (HP:0030079), Rhabdomyosarcoma (HP:0002859)-Embryonal rhabdomyosarcoma (HP:0006743), 	Proximity to MAD1L1 Rhabdomyosarcoma (HP:0002859)-increased rhabdomyosarcoma incidence (MP:0002036), Skeletal muscle atrophy (HP:0003202)-increased rhabdomyosarcoma incidence (MP:0002036), 	Proximity to MAD1L1 Failure to thrive (HP:0001508)-habituation decreased rate, abnormal (ZP:0138053), 
4	CEP57_AR	CEP57	9702	AR	0.5384	0.0071	0.8035	0.0000	0.8035	0.2373	0.0000	0.5006	0.8035	1.0000	0	Mosaic variegated aneuploidy syndrome (ORPHA:1052): Nephrocalcinosis (HP:0000121)-Multicystic kidney dysplasia (HP:0000003), Premature birth (HP:0001622)-Polyhydramnios (HP:0001561), Rhabdomyosarcoma (HP:0002859)-Rhabdomyosarcoma (HP:0002859), Skeletal muscle atrophy (HP:0003202)-Muscular dystrophy (HP:0003560), Short stature (HP:0004322)-Short stature (HP:0004322), 	Skeletal muscle atrophy (HP:0003202)-short tail (MP:0000592), Short stature (HP:0004322)-short tail (MP:0000592), 		Proximity to WDR62 associated with Microcephaly 2, primary, autosomal recessive, with or without cortical malformations (OMIM:604317): Nephrocalcinosis (HP:0000121)-Cryptorchidism (HP:0000028), Failure to thrive (HP:0001508)-Failure to thrive (HP:0001508), Small for gestational age (HP:0001518)-Failure to thrive (HP:0001508), Premature birth (HP:0001622)-Premature birth (HP:0001622), 	Proximity to WDR62 Nephrocalcinosis (HP:0000121)-small kidney (MP:0002989), Skeletal muscle atrophy (HP:0003202)-small kidney (MP:0002989), Short stature (HP:0004322)-small kidney (MP:0002989), 	
4	TRIP13_AR	TRIP13	9319	AR	0.5384	0.0071	0.8035	0.0000	0.8035	0.3811	0.0000	0.5002	0.8035	1.0000	0	Mosaic variegated aneuploidy syndrome (ORPHA:1052): Nephrocalcinosis (HP:0000121)-Multicystic kidney dysplasia (HP:0000003), Premature birth (HP:0001622)-Polyhydramnios (HP:0001561), Rhabdomyosarcoma (HP:0002859)-Rhabdomyosarcoma (HP:0002859), Skeletal muscle atrophy (HP:0003202)-Muscular dystrophy (HP:0003560), Short stature (HP:0004322)-Short stature (HP:0004322), 	Failure to thrive (HP:0001508)-impaired ovarian folliculogenesis (MP:0001129), Small for gestational age (HP:0001518)-arrest of male meiosis (MP:0008261), Premature birth (HP:0001622)-arrest of male meiosis (MP:0008261), Skeletal muscle atrophy (HP:0003202)-decreased body size (MP:0001265), Short stature (HP:0004322)-decreased body size (MP:0001265), 		Proximity to KLHL41 associated with Severe congenital nemaline myopathy (ORPHA:171430): Nephrocalcinosis (HP:0000121)-Hypospadias (HP:0000047), Premature birth (HP:0001622)-Premature birth (HP:0001622), Skeletal muscle atrophy (HP:0003202)-Skeletal muscle atrophy (HP:0003202), 	Proximity to KLHL41 Failure to thrive (HP:0001508)-slow postnatal weight gain (MP:0008489), Small for gestational age (HP:0001518)-slow postnatal weight gain (MP:0008489), Premature birth (HP:0001622)-slow postnatal weight gain (MP:0008489), Rhabdomyosarcoma (HP:0002859)-myopathy (MP:0000751), Skeletal muscle atrophy (HP:0003202)-myopathy (MP:0000751), Short stature (HP:0004322)-slow postnatal weight gain (MP:0008489), 	Proximity to KLHL41 Rhabdomyosarcoma (HP:0002859)-skeletal muscle refractivity, abnormal (ZP:0004710), Skeletal muscle atrophy (HP:0003202)-skeletal muscle decreased size, abnormal (ZP:0004709), Short stature (HP:0004322)-whole organism decreased thickness, abnormal (ZP:0001090), 
10	CHEK2_AD	CHEK2	11200	AD	0.5744	0.0051	0.7713	0.0000	0.7713	0.0000	0.0000	0.0000	0.7713	1.0000	0	Li-Fraumeni syndrome (ORPHA:524): Nephrocalcinosis (HP:0000121)-Renal neoplasm (HP:0009726), Premature birth (HP:0001622)-Choriocarcinoma (HP:0100768), Rhabdomyosarcoma (HP:0002859)-Rhabdomyosarcoma (HP:0002859), 					
